epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.409,0,52.3875,0,0,0,0,0,0,81.65,0,0.000653333,0.000653333,0.000653333
2,262.456,0,37.1522,0,0,0,0,0,0,95.8587,0,0.00127644,0.00127644,0.00127644
3,399.059,0,30.6951,0,0,0,0,0,0,45.8197,0,0.00185555,0.00185555,0.00185555
4,528.461,0,25.9686,0,0,0,0,0,0,67.6064,0,0.001802,0.001802,0.001802
5,658.956,0,21.4741,0,0,0,0,0,0,33.8388,0,0.001736,0.001736,0.001736
6,786.77,0,17.6349,0,0,0,0,0,0,28.912,0,0.00167,0.00167,0.00167
7,912.038,0,14.3086,0,0,0,0,0,0,21.5879,0,0.001604,0.001604,0.001604
8,1044.2,0,11.4488,0,0,0,0,0,0,16.8604,0,0.001538,0.001538,0.001538
9,1189.53,0,9.17802,0,0,0,0,0,0,14.3291,0,0.001472,0.001472,0.001472
10,1332.8,0,7.42139,0,0,0,0,0,0,1258.96,0,0.001406,0.001406,0.001406
11,1508.77,0,5.93621,0,0,0,0,0,0,8.74552,0,0.00134,0.00134,0.00134
12,1688.55,0,4.70676,0,0,0,0,0,0,6.83522,0,0.001274,0.001274,0.001274
13,1869.88,0,3.74884,0,0,0,0,0,0,5.73217,0,0.001208,0.001208,0.001208
14,2024.27,0,2.99093,0,0,0,0,0,0,4.30367,0,0.001142,0.001142,0.001142
15,2199.22,0,2.39709,0,0,0,0,0,0,3.64367,0,0.001076,0.001076,0.001076
